name,BUILDING,STREET,zip code,PHONE,object,,,
east village pizza and kebab,145,1 ave,10003,2125294545,76,,,
the bean,147,1 ave,10003,2124322900,77,,,
coyote ugly,153,1 ave,10003,2124774431,79,,,
wings on first,153,1 ave,10003,2126730333,80,,,
sabor a mexico taqueria,160,1 ave,10009,2125334002,81,,,
fuku,163,1 ave,10003,2122290031,82,,,
tarallucci e vino,163,1 ave,10003,2123881190,84,,,
momofuku noodle bar,163,1 ave,10003,2124757899,83,,,
beronberon,164,1 ave,10009,6462836339,85,,,
ashiya ii sushi,167,1 ave,10003,2125053348,86,,,
lanzas,168,1 ave,10009,2126747014,87,,,
momofuku noodle bar,171,1 ave,10003,2127777773,88,,,
iggys pizzeria,173,1 ave,10003,2123533331,90,,,
five roses pizza,173,1 ave,10003,2122282840,89,,,
nai tapas bar,174,1 ave,10009,2126771030,91,,,
xunta,174,1 ave,10009,2126140620,92,,,
black seed bagels,176,1 ave,10009,6464845718,93,,,
little tong noodle shop,177,1 ave,10003,4126088668,94,,,
schnitz,177,1 ave,10003,6468613923,95,,,
atomic wings,184,1 ave,10009,6466495560,96,,,
sahara east,184,1 ave,10009,2123539000,97,,,
uogashi,188,1 ave,10009,2122530626,100,,,
ichi 88,188,1 ave,10009,2127771989,98,,,
oyama restaurant,188,1 ave,10009,2127779411,99,,,
tree,190,1 ave,10009,2123587171,102,,,
brunettas restaurant,190,1 ave,10009,2122284030,101,,,
juice vitality,192,1 ave,10009,2124770071,103,,,
neptune polish restaurant,192,1 ave,10009,2127774163,104,,,
east 12th oste,197,1 ave,10003,2124321112,105,,,
jeepney,201,1 ave,10003,2125334121,106,,,
sao mai vietnamese cuisine,203,1 ave,10003,2123588880,107,,,
balade,208,1 ave,10009,2125296868,108,,,
genas grill,210,1 ave,10009,2124733700,109,,,
papa johns,210,1 ave,10009,2129827272,110,,,
ruma food international,210,1 ave,10009,2129829200,111,,,
luzzos,211,1 ave,10003,7182882802,112,,,
kumo sushi,214,1 ave,10009,2125333030,113,,,
tallgrass burger,214,1 ave,10009,2122532990,114,,,
dunkin donuts,215,1 ave,10003,2124755928,115,,,
starbucks,219,1 ave,10003,2122540358,116,,,
senor pollo,221,1 ave,10003,2127770362,117,,,
joey pepperonis pizza,222,1 ave,10009,2124664646,119,,,
ikura,222,1 ave,10009,2125298500,118,,,
mee noodle shop,223,1 ave,10003,2122607838,120,,,
checkers,225,1 ave,10003,2127771115,121,,,
taverna kyclades,228,1 ave,10009,2124320011,123,,,
david bagel,228,1 ave,10009,2125338766,122,,,
vinny vincenz,231,1 ave,10003,2126740707,125,,,
big arc chicken,233,1 ave,10003,2124770091,126,,,
papaya dog,239,1 ave,10003,6466547010,128,,,
darbar east,239,1 ave,10003,2126770005,127,,,
asiam thai cuisine,259,1 ave,10003,2122287880,129,,,
emojo burger,261,1 ave,10003,9177750568,130,,,
murrays falafel,261,1 ave,10003,2125331956,132,,,
johnnys pizza,261,1 ave,10003,2122546649,131,,,
bagel boss,263,1 ave,10003,2123889292,133,,,
paris baguette,264,1 ave,10009,2122530404,134,,,
red mango,264,1 ave,10009,2122531155,135,,,
no1 kitchen,265,1 ave,10003,2125290539,136,,,
dunkin donuts,266,1 ave,10009,2125334189,137,,,
davids bagels,273,1 ave,10003,2127802308,139,,,
ambrosia,273,1 ave,10003,2124737440,138,,,
bruno ravioli,284,1 ave,10009,2122542156,141,,,
chipotle mexican grill,286,1 ave,10009,2122281915,142,,,
starbucks,286,1 ave,10009,2123531214,143,,,
subway,317,1 ave,10003,2127775500,145,,,
visana,321,1 ave,10003,6469186889,147,,,
adriatic italian restaurant,321,1 ave,10003,2122602797,146,,,
essabagel,324,1 ave,10009,2122602252,148,,,
cooper town diner,339,1 ave,10003,2126779287,150,,,
hane sushi,346,1 ave,10009,2125989889,151,,,
city wings cafe,347,1 ave,10010,2129828291,152,,,
original tonys house of pizza,347,1 ave,10010,2125984545,153,,,
vamos,348,1 ave,10010,2123587800,154,,,
bangkok 2 thai,349,1 ave,10010,2124734480,155,,,
tal bagels,357,1 ave,10010,2123878100,157,,,
rose restaurant,357,1 ave,10010,2126777565,156,,,
dunkin donuts,361,1 ave,10010,2122283768,159,,,
franks trattoria,371,1 ave,10010,2126777140,161,,,
lucky chicken,377,1 ave,10010,2122281325,163,,,
nyu college of nursing cafe,433,1 ave,10010,2129925770,164,,,
au bon pain,462,1 ave,10016,2124815426,165,,,
moonstruck in bellevue,462,1 ave,10016,6466495304,166,,,
argo tea,550,1 ave,10016,6463503456,167,,,
new york bagels deli,587,1 ave,10016,2127253777,168,,,
panini cafe,589,1 ave,10016,2122139199,169,,,
luckys cafe restaurant,591,1 ave,10016,2126833111,171,,,
golden dragon,591,1 ave,10016,2122133338,170,,,
the gyro shop,593,1 ave,10016,6467670923,173,,,
kips bay delicatessen,593,1 ave,10016,2126859576,172,,,
marche madison,630,1 ave,10016,2127790110,174,,,
rafina restaurant,630,1 ave,10016,2125322234,175,,,
fresh central gourmet deli,650,1 ave,10016,2126863737,176,,,
munchery,701,1 ave,10017,9176135791,177,,,
nations cafe,875,1 ave,10017,2123082001,178,,,
bangkok grand palace,882,1 ave,10022,2129808834,179,,,
da raffaele,883,1 ave,10022,6468959849,180,,,
beekman bar books,889,1 ave,10022,2127586600,181,,,
wylies restaurant,891,1 ave,10022,2127510226,183,,,
destino,891,1 ave,10022,2127510700,182,,,
dunkin donuts,900,1 ave,10022,6463805809,184,,,
ethos,905,1 ave,10022,2128884060,185,,,
meltemi,905,1 ave,10022,2123554040,186,,,
pathos,932,1 ave,10022,2123983398,187,,,
panini grill,937,1 ave,10022,2123004010,190,,,
ashiya sushi 5 inc,937,1 ave,10022,2123082280,188,,,
d s harumi sushi,937,1 ave,10022,2128938263,189,,,
dominos,943,1 ave,10022,2127596600,191,,,
abitinos pizza,947,1 ave,10022,2123081234,192,,,
jubilee,948,1 ave,10022,2128883569,193,,,
subway,949,1 ave,10022,2122078958,194,,,
madison restaurant,965,1 ave,10022,2124210948,198,,,
starbucks coffee company,969,1 ave,10022,2126159700,200,,,
mcdonalds,969,1 ave,10022,2125880695,199,,,
financier patisserie,983,1 ave,10022,2124190100,202,,,
international poultry,983,1 ave,10022,2127501100,203,,,
pho saigon,987,1 ave,10022,2126886888,205,,,
panda,987,1 ave,10022,2127528822,204,,,
sofia pizza shoppe,989,1 ave,10022,2128888816,206,,,
jimbos hamburger place,991,1 ave,10022,2123556120,207,,,
le pain quotidien,1006,1 ave,10022,6463625991,208,,,
archdioceses of ny,1011,1 ave,10022,6467942280,209,,,
dunkin donuts,1024,1 ave,10022,2122231177,210,,,
sutton cafe restaurant,1026,1 ave,10022,2124219184,211,,,
best pizza on 1st,1038,1 ave,10022,2126448400,212,,,
andres hungarian strudels pastries,1049,1 ave,10022,2122078117,213,,,
foxy greens,1049,1 ave,10022,6466492089,214,,,
rosa mexicano,1063,1 ave,10022,2127537407,217,,,
fusha,1065,1 ave,10022,2127528883,218,,,
aja,1066,1 ave,10022,2128888008,219,,,
amaze,1066,1 ave,10022,2126888808,220,,,
go noodle,1069,1 ave,10022,2128886366,222,,,
real thai,1069,1 ave,10022,2127529277,223,,,
adyar ananda bhavan,1071,1 ave,10022,2127506666,225,,,
china boy i,1071,1 ave,10022,9176824778,226,,,
dardanel,1071,1 ave,10022,2128880809,227,,,
jnl tokyo japanese restaurant,1071,1 ave,10022,2123553899,228,,,
sin bin,1074,1 ave,10022,2129809850,229,,,
suzu sushi,1075,1 ave,10022,2123100156,230,,,
four cuts steakhouse,1076,1 ave,10022,2128420007,232,,,
casa la femme,1076,1 ave,10022,2125050005,231,,,
il valentino osteria,1078,1 ave,10022,2127840800,233,,,
under the bridge,1079,1 ave,10022,2125830695,235,,,
trattoria pesce pasta,1079,1 ave,10022,2128887884,234,,,
john tonys pizza,1097,1 ave,10065,2123714965,236,,,
dunkin donuts,1099,1 ave,10065,2125889495,237,,,
lucisous thai,1099,1 ave,10065,2128131188,238,,,
starbucks,1102,1 ave,10065,2126889118,240,,,
a aso sushi,1103,1 ave,10065,2128888276,241,,,
nagasaki sushi,1103,1 ave,10065,2123088828,242,,,
tiella,1109,1 ave,10065,2125880100,244,,,
wing bistro,1109,1 ave,10065,9174751153,245,,,
la cantina toscana,1109,1 ave,10065,2127545454,243,,,
daily bagel,1111,1 ave,10065,2123714907,246,,,
east river cafe,1111,1 ave,10065,2129803144,247,,,
bistro 61,1113,1 ave,10065,2122236220,248,,,
dangerfields night club,1118,1 ave,10065,2125931650,249,,,
via oreto,1121,1 ave,10065,2123080828,250,,,
the nuaa,1122,1 ave,10065,2128882899,251,,,
vincis,1122,1 ave,10065,2127511122,252,,,
el porron,1123,1 ave,10065,2122078349,253,,,
treadwell park,1125,1 ave,10065,2128321551,255,,,
merchants ny,1125,1 ave,10065,2128324610,254,,,
casablanca grill,1132,1 ave,10065,2123553535,256,,,
ritz diner,1133,1 ave,10065,2123194993,257,,,
la nuit,1134,1 ave,10065,6464540499,259,,,
eastside steak ale,1134,1 ave,10065,2122235800,258,,,
ravagh persian grill,1135,1 ave,10026,2128617900,262,,,
espressos caffe,1135,1 ave,10026,2123712166,261,,,
angels restaurant,1135,1 ave,10026,2129803131,260,,,
roy_s fish market,1138,1 ave,10021,2128383587,264,,,
sutton pizza gyro,1140,1 ave,10065,2128385080,265,,,
sushi seki,1143,1 ave,10065,2123710238,267,,,
taco city,1143,1 ave,10065,2127546190,268,,,
totoya,1144,1 ave,10065,2127516123,269,,,
moti mahal delux,1149,1 ave,10065,2123713535,270,,,
baker street pub,1152,1 ave,10065,2126889663,271,,,
ahana japanese fusion cuisine,1154,1 ave,10065,2128885800,272,,,
honky tonk tavern,1154,1 ave,10065,2122078550,273,,,
il gatto la volpe,1154,1 ave,10065,2126888444,274,,,
new york coffee pub,1154,1 ave,10065,2123557075,275,,,
pongal,1154,1 ave,10065,2123554600,276,,,
16 handles,1161,1 ave,10065,6467073424,277,,,
manhattan grille,1161,1 ave,10065,2128886556,278,,,
lunetta pizzeria,1162,1 ave,10065,2127588100,279,,,
portofino grille,1162,1 ave,10065,2128324141,280,,,
ayogu restaurant,1164,1 ave,10065,2127513316,282,,,
aoyama sushi,1164,1 ave,10065,2127511818,281,,,
felice 64 wine bar,1166,1 ave,10065,2125932223,283,,,
haagen dazs,1188,1 ave,10065,2122885200,284,,,
maya,1191,1 ave,10065,2125851818,285,,,
ichiban japanese restaurant,1193,1 ave,10065,2127342100,286,,,
oaxaca taqueria,1198,1 ave,10065,2122495800,287,,,
oflanagans,1215,1 ave,10065,2124390660,290,,,
wong restaurant,1217,1 ave,10065,2125177798,291,,,
chirping chicken,1219,1 ave,10065,2128792509,162,,,
dunkin donuts,1225,1 ave,10021,2127345465,293,,,
bagel works,1229,1 ave,10065,2127446444,295,,,
greek eats,1229,1 ave,10065,2128614976,296,,,
879 taco,1229,1 ave,10065,2128798226,294,,,
pizza park,1233,1 ave,10065,2128796444,297,,,
spice saigon,1237,1 ave,10065,2126280088,299,,,
cafe fresco,1239,1 ave,10065,2125359030,300,,,
le gourmet,1267,1 ave,10065,2127728811,301,,,
subway,1269,1 ave,10065,2126286358,303,,,
lennys,1269,1 ave,10065,2122880852,302,,,
le pain quotidien,1270,1 ave,10065,2129885001,304,,,
gregorys coffee,1273,1 ave,10065,6464846122,305,,,
ranch 1,1273,1 ave,10065,2127340077,306,,,
1st avenue gourmet,1274,1 ave,10065,2124728480,307,,,
yogurtland,1275,1 ave,10065,6468376969,308,,,
panda express,1277,1 ave,10065,2122881323,309,,,
panda express 2633,1277,1 ave,10065,6263728203,310,,,
patsys pizzeria,1279,1 ave,10065,2126931000,311,,,
starlite diner cafe,1279,1 ave,10065,2122888773,312,,,
bamboo sushi,1280,1 ave,10065,2123961919,313,,,
famous famiglia,1284,1 ave,10065,2122881616,315,,,
mcdonalds,1286,1 ave,10021,2122493551,316,,,
just salad,1306,1 ave,10021,2122441111,318,,,
tastidlite,1310,1 ave,10021,2127171221,319,,,
texas rotisserie,1315,1 ave,10021,2123960700,320,,,
the coffee inn,1316,1 ave,10021,2122493909,321,,,
fratellis,1317,1 ave,10021,2122496092,322,,,
silverspoon restaurant,1317,1 ave,10021,2127720222,323,,,
cafe luka,1319,1 ave,10021,2125852205,324,,,
sweetgreen,1321,1 ave,10021,6464906858,326,,,
cilantro,1321,1 ave,10021,2125374040,325,,,
ninos restaurant,1354,1 ave,10021,2129880002,327,,,
petaluma,1356,1 ave,10021,2127728800,328,,,
session 73,1359,1 ave,10021,2125174445,329,,,
finnegans wake,1361,1 ave,10021,2127373664,330,,,
lawrence scott restaurant,1363,1 ave,10021,2123964555,331,,,
sheckys,1363,1 ave,10021,2127447190,332,,,
shamrat indian restaurant,1365,1 ave,10021,2127342447,333,,,
two lizards,1365,1 ave,10021,2127342447,334,,,
cafe evergreen,1367,1 ave,10021,2127443266,317,,,
fuji asian restaurant,1367,1 ave,10021,2123963388,336,,,
tomashi restaurant,1367,1 ave,10021,2125358726,337,,,
bareburger,1370,1 ave,10021,2125108559,338,,,
vanguard wine bar,1372,1 ave,10021,2122889463,340,,,
banshee pub,1373,1 ave,10021,2127178177,341,,,
delizia restaurant corp,1374,1 ave,10021,2125178888,339,,,
andaz,1378,1 ave,10021,2122880288,343,,,
japanese restaurant,1378,1 ave,10021,2123962754,314,,,
campagnola restaurant,1382,1 ave,10021,2128611102,347,,,
dominos,1396,1 ave,10021,2127728100,348,,,
numero 28,1431,1 ave,10021,2127728200,350,,,
rectangles,1431,1 ave,10021,2127447470,351,,,
1st ave coffee shop,1433,1 ave,10021,2127945246,352,,,
good health natural cafe,1435,1 ave,10021,2125179898,353,,,
vegan divas,1437,1 ave,10021,2127340845,355,,,
pamir kabab place,1437,1 ave,10021,2127343791,354,,,
2 nd avenue deli,1442,1 ave,10021,2127371700,356,,,
wicked wolf restaurant,1442,1 ave,10021,2128614670,357,,,
pony bar upper eastside,1444,1 ave,10021,2122880090,359,,,
blue moon mexican cafe,1444,1 ave,10021,2122889811,358,,,
starbucks,1445,1 ave,10021,2124727784,360,,,
mile 17,1446,1 ave,10021,2127721734,361,,,
papadam,1448,1 ave,10021,2128796000,362,,,
taco king,1448,1 ave,10021,2125702155,363,,,
3 star diner,1462,1 ave,10075,2128617500,364,,,
momokawa,1466,1 ave,10075,9173197995,366,,,
fujiyama,1466,1 ave,10075,2122492722,365,,,
canyon road,1470,1 ave,10075,2127341600,367,,,
american bar,1471,1 ave,10075,2126884344,368,,,
american trash inc,1471,1 ave,10075,2129889008,369,,,
mtk chowder house,1471,1 ave,10075,2129887458,370,,,
green kitchen diner,1475,1 ave,10075,2129884163,371,,,
spice,1479,1 ave,10075,2127446374,372,,,
maruzzella,1483,1 ave,10075,2129888877,373,,,
pita express,1483,1 ave,10075,2122491300,374,,,
la mia pizza,1488,1 ave,10075,2124721200,375,,,
charley mom kitchen,1491,1 ave,10075,2124396363,376,,,
charlie mom chinese cuisine,1491,1 ave,10075,2124396339,377,,,
bar coastal,1495,1 ave,10075,2122886635,379,,,
atomic wings,1495,1 ave,10075,2127728400,378,,,
east side bagel,1496,1 ave,10075,2127941655,380,,,
sedutto,1498,1 ave,10075,2128799557,381,,,
subway,1501,1 ave,10075,2122888856,382,,,
harvest chinese thai cuisine,1502,1 ave,10075,2129882268,383,,,
cousins nyc,1514,1 ave,10075,6468611524,386,,,
cafe 79,1514,1 ave,10075,2127341655,385,,,
anneliese pastries,1516,1 ave,10075,2123969961,387,,,
szechuan kitchen,1518,1 ave,10075,2122494615,388,,,
italian village pizzeria,1526,1 ave,10075,2125355950,389,,,
aoc east,1530,1 ave,10075,6469985749,390,,,
gracie mews diner,1550,1 ave,10028,2128612290,391,,,
emack bolios,1564,1 ave,10028,2127340105,392,,,
cafe trevi,1570,1 ave,10028,2122490040,393,,,
pita grill,1570,1 ave,10028,2127172005,394,,,
grunauer,1578,1 ave,10028,2129881077,395,,,
il tesoro ristorante,1578,1 ave,10028,2128619620,396,,,
primavera,1578,1 ave,10028,2128618608,397,,,
oriental cafe,1580,1 ave,10028,2127440056,400,,,
dumpling king,1580,1 ave,10028,2124102700,398,,,
empire wok,1580,1 ave,10028,2124396666,399,,,
pan asian,1580,1 ave,10028,2128288686,401,,,
sunny chinese cuisine,1580,1 ave,10028,2129882280,402,,,
chicken festival,1584,1 ave,10028,2129882844,403,,,
putawn local thai kitchen,1584,1 ave,10028,2129888800,404,,,
inase sushi restaurant,1586,1 ave,10028,2126281238,405,,,
bayards ale house,1589,1 ave,10028,2125187582,406,,,
dunkin donuts,1589,1 ave,10028,2125851700,407,,,
le bistro da cote,1590,1 ave,10028,2127729200,410,,,
i vandali vino cucina,1590,1 ave,10028,2125853339,409,,,
domani ristorante glatt kosher,1590,1 ave,10028,2127177575,408,,,
le pain quotidien,1592,1 ave,10028,6466813110,411,,,
the gilroy,1592,1 ave,10028,2127348800,412,,,
felice,1593,1 ave,10028,2122494080,413,,,
enginar,1606,1 ave,10028,2122499700,414,,,
epazote,1606,1 ave,10028,2129881704,415,,,
peters gourmet diner,1606,1 ave,10028,2127349600,416,,,
one 84,1608,1 ave,10028,2123274700,417,,,
starbucks,1631,1 ave,10028,2127376534,418,,,
danny eddies,1643,1 ave,10028,2123962090,419,,,
pengs noodle folk,1659,1 ave,10028,2123482878,421,,,
taco today,1659,1 ave,10028,2129968191,422,,,
e h resturant inc,1659,1 ave,10028,2128608857,420,,,
subway,1661,1 ave,10028,2129873839,423,,,
mokja,1663,1 ave,10028,9176704837,425,,,
the burger bistro,1663,1 ave,10028,6463681134,427,,,
chennai vegetarian kosher restaurant,1663,1 ave,10028,2128311114,424,,,
solofra,1663,1 ave,10028,2125343261,426,,,
eastend bar grill,1664,1 ave,10028,2123483783,428,,,
gotham pizza,1667,1 ave,10028,2128280888,429,,,
glasers bakery,1670,1 ave,10128,2122892562,430,,,
shortys,1678,1 ave,10128,2123482300,431,,,
new sunny east 88 restaurant,1680,1 ave,10128,2128769332,432,,,
bareburger,1681,1 ave,10128,2123901344,434,,,
samalitas,1681,1 ave,10128,2122897322,435,,,
aces eights,1681,1 ave,10128,2128604020,433,,,
hughes tavern,1682,1 ave,10128,6462587638,436,,,
east garden,1685,1 ave,10128,2128315900,438,,,
frere de lys,1685,1 ave,10128,6468612793,439,,,
choux factory,1685,1 ave,10128,2127290210,437,,,
bagel mill,1700,1 ave,10128,2124260868,440,,,
luigi pizzeria ristorante,1701,1 ave,10128,2124101910,441,,,
room 1705,1705,1 ave,10128,6469228242,442,,,
cavatappo grill,1712,1 ave,10128,2129879260,443,,,
dakshin,1713,1 ave,10128,2129879839,444,,,
pho shop,1716,1 ave,10128,2123699888,445,,,
squeeze,1729,1 ave,10128,2127227220,446,,,
mas noodle fun,1744,1 ave,10128,9178801181,447,,,
sabor a mexico,1744,1 ave,10128,2122892641,448,,,
brother jimmys nyc restaurant holdings,1745,1 ave,10128,2128606466,449,,,
pio pio 3,1746,1 ave,10128,2124265800,450,,,
pinocchio ristorante,1748,1 ave,10128,2128285810,452,,,
gauchas,1748,1 ave,10128,2123606400,451,,,
thai peppercorn,1750,1 ave,10128,2124106900,455,,,
gkk restaurant corp,1750,1 ave,10128,2123483344,453,,,
indo pak halal restaurant,1750,1 ave,10128,2129878150,454,,,
yummy sushi,1758,1 ave,10128,2129963666,456,,,
mamma mia pizza,1760,1 ave,10128,2123482809,457,,,
au jus,1762,1 ave,10128,6464763580,459,,,
international wings factory,1762,1 ave,10128,2123482627,460,,,
grill time,1764,1 ave,10128,2124107482,462,,,
guang ming,1764,1 ave,10128,2129961570,463,,,
chicken stop,1764,1 ave,10128,2128312250,461,,,
kwong ming restaurant,1764,1 ave,10128,2122895080,464,,,
akami sushi,1771,1 ave,10128,2128288668,465,,,
new fresh wok,1777,1 ave,10128,2128287666,467,,,
fresh wok,1777,1 ave,10128,2128287688,466,,,
gjs pizzeria,1797,1 ave,10128,2036107366,468,,,
francescas pizza,1811,1 ave,10128,2125343173,469,,,
vnam cafe,1820,1 ave,10009,2127806020,470,,,
andaman thai bistro,1843,1 ave,10128,2127225671,471,,,
mj pizza,1976,1 ave,10029,2129962866,473,,,
chen qiu fang,2033,1 ave,10029,2128289666,474,,,
double dragon,2037,1 ave,10029,2125346399,475,,,
5 star cheese steak and pizza,2039,1 ave,10029,2129871540,476,,,
kennedy fried chicken,2041,1 ave,10029,2124231011,478,,,
crown fried chicken,2041,1 ave,10029,2124231136,477,,,
natural essentials wellness,2105,1 ave,10029,2123694300,480,,,
ecuatorianos,2105,1 ave,10029,2128281234,479,,,
healthier choices,2107,1 ave,10029,2124275500,481,,,
wing gong restaurant,2109,1 ave,10029,2124101661,482,,,
papa johns,2119,1 ave,10029,2129967272,483,,,
great wall,2234,1 ave,10029,2124264888,484,,,
camaradas el barrio,2241,1 ave,10029,2123482703,485,,,
every day fresh fish n chips,2244,1 ave,10029,9174092643,486,,,
makana,2245,1 ave,10029,2129963534,488,,,
lantern house,2245,1 ave,10029,2124268666,487,,,
la avenida,2247,1 ave,10029,9172011707,489,,,
rancherito restaurant,2247,1 ave,10029,2128282247,490,,,
yuras blue plate,2248,1 ave,10029,8036061075,491,,,
prime one 16,2257,1 ave,10029,6465902187,494,,,
orbit,2257,1 ave,10029,2123487818,493,,,
dunkin donuts,2258,1 ave,10035,7324062445,496,,,
delightful restaurant,2258,1 ave,10035,2128766224,495,,,
teng dragon,2260,1 ave,10035,2124263906,497,,,
spaha soul,2270,1 ave,10035,2124273625,498,,,
guajillo restaurant,2277,1 ave,10035,9174827814,500,,,
lindo michoacan mexican cuisine,2277,1 ave,10035,2128605336,501,,,
casa de los tacos restaurant,2277,1 ave,10035,2128606858,499,,,
patsys pizzeria,2289,1 ave,10035,2125349783,502,,,
wing wah,2308,1 ave,10035,2124278068,503,,,
evelyns kitchen,2317,1 ave,10035,6464767906,504,,,
seafood veggie cafe,2317,1 ave,10035,2124106540,505,,,
jam hut,2327,1 ave,10035,2128602253,506,,,
taqueria el barrio,2327,1 ave,10035,6466493052,508,,,
santiago luncheonette,2327,1 ave,10035,2128283313,507,,,
xiang dragon chinese restaurant,2331,1 ave,10035,2123698012,509,,,
crown fried chicken,2333,1 ave,10035,2128602445,510,,,
medina restaurant,2333,1 ave,10035,2128607005,511,,,
tapas bites,2337,1 ave,10035,2129206165,513,,,
harlem family cuchifrito,2337,1 ave,10035,2128608700,512,,,
international bar,12012,1 ave,10009,2127771643,514,,,
tal bagels deli,975979,1 ave,10022,2127539080,201,,,
fusia,1071A,1 ave,10022,2122073657,516,,,
chipotle mexican grill,1288-1290,1 ave,10021,6462139431,517,,,
starbucks,491/2,1 ave,10003,2127771752,519,,,
del posto,85,10 ave,10011,2124978090,522,,,
highline cafe,85,10 ave,10011,9089381559,523,,,
sons and daughters,85,10 ave,10011,6464906013,524,,,
toro,85,10 ave,10011,2126912360,525,,,
colicchio sons,85,10 ave,10011,2124006876,521,,,
willow road,85,10 ave,10011,6464846566,526,,,
chelsea thai,88,10 ave,10011,2129242999,527,,,
morimoto,88,10 ave,10011,2129894639,528,,,
equinox 17th street,100,10 ave,10011,6465175801,530,,,
juice press,100,10 ave,10011,2123889539,531,,,
avenue,116,10 ave,10011,2123370054,532,,,
bn restaurant,128,10 ave,10011,2123660994,534,,,
star on 18th diner cafe,128,10 ave,10011,2123660994,535,,,
la luncheonette,130,10 ave,10011,2126750342,536,,,
the fillmore room,146,10 ave,10011,2129217772,539,,,
moraan restaurant,146,10 ave,10011,2126272878,537,,,
morans chelsea,146,10 ave,10011,2126273030,538,,,
cookshop,156,10 ave,10011,2129244440,540,,,
high line hotel,180,10 ave,10011,6467360174,541,,,
intelligentsia coffee,180,10 ave,10011,2129339736,542,,,
woodstock general supply,205,10 ave,10011,6464024393,544,,,
tia pol,205,10 ave,10011,2126758805,543,,,
juban,207,10 ave,10011,2127489782,546,,,
dor ahn,207,10 ave,10011,2126277777,545,,,
empire diner,210,10 ave,10011,2126471883,547,,,
